itemName,catchcopy,itemCode,itemPrice,itemUrl,shop_name,availability,taxFlag,postageFlag,pointRate,pointRateStartTime,pointRateEndTime,genreId,point_summary_block
【設置取付なし】SHARP シャープ AQUOS 42V型 4K 液晶 テレビ 4T-C42FL1 低反射パネル 新AI Google TV (2023年モデル)　AI高画質/高音質プロセッサー搭載,,superdeal:10005633,85800,https://item.rakuten.co.jp/superdeal/149324tc42fl12501/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,563843,1倍
【アウトレット】日立 冷蔵庫 フレンチドア 定格内容積485L LR-HW49V 【配送可能：東京都・神奈川県・埼玉県・千葉県・茨城県・栃木県・群馬県】,,superdeal:10005060,200800,https://item.rakuten.co.jp/superdeal/14368outlethw49v2410/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,204490,1倍
日立 LEDシーリングライト 12畳 LEC-AH12U リモコン付属 定格光束5499lm 連続調光対応 調色機能付き(2700K～6500K),,superdeal:10004567,8980,https://item.rakuten.co.jp/superdeal/13931lecah12u2406/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,300444,1倍
【要エントリー！3/4 20時開始！4時間限定ポイントアップ対象】【設置取付なし】シャープ SHARP 4T-C42DJ1 AQUOS 42V型 4K対応 液晶テレビ YouTube対応　BS・CS 4Kチューナー内蔵,,superdeal:10004792,79800,https://item.rakuten.co.jp/superdeal/141314tc42dj12408/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,563843,1倍
日立 コンベクションオーブントースター HMO-F200,,superdeal:10004737,16300,https://item.rakuten.co.jp/superdeal/14075hmof2002408/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,502782,1倍
【訳あり】日立 スチームオーブンレンジ ヘルシーシェフ MRO-W1Z,【数量限定】箱つぶれ・箱損傷商品につき、お買い得です！,superdeal:10003425,59800,https://item.rakuten.co.jp/superdeal/11976mrow1z20220919-qa/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,502695,1倍
日立 LEDシーリングライト 6畳 LEC-AH603TK リモコン付属 定格光束3699lm 連続調光対応 調色機能付き(2700K〜6500K),,superdeal:10004554,10980,https://item.rakuten.co.jp/superdeal/13924lecah603tk2406/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,300444,1倍
日立 オーブンレンジ 22L MRO-HE4C（W） ホワイト,,superdeal:10005075,32980,https://item.rakuten.co.jp/superdeal/14397mrohe4c2410/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,502695,1倍
日立 LEDシーリングライト 10畳 LEC-AH1000U リモコン付属 定格光束4899lm 連続調光対応 調色機能付き(2700K～6500K),,superdeal:10004560,12480,https://item.rakuten.co.jp/superdeal/13927lecah1000u2406/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,300444,1倍
【要エントリー！3/4 20時開始！4時間限定ポイントアップ対象】日立 冷蔵庫 フレンチドア 定格内容積617L R-HWC62T 【配送可能：東京都・神奈川県・埼玉県・千葉県・茨城県・栃木県・群馬県】,,superdeal:10004287,244800,https://item.rakuten.co.jp/superdeal/13653rhwc62tn2404/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,204490,1倍
日立 LEDシーリングライト 10畳 LEC-AH1000U リモコン付属 定格光束4899lm 連続調光対応 調色機能付き(2700K～6500K),,superdeal:10004560,12480,https://item.rakuten.co.jp/superdeal/13927lecah1000u2406/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,300444,1倍
日立 オーブンレンジ 31L ヘルシーシェフ MRO-S8B フラット庫内過熱水蒸気 スチームオーブンレンジ,,superdeal:10005077,49800,https://item.rakuten.co.jp/superdeal/14399mros8b2410/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,502695,1倍
日立 LEDシーリングライト 8畳 LEC-AH802TM リモコン付属 定格光束4299lm 連続調光対応 調色機能付き(2700K～6500K),,superdeal:10004569,12420,https://item.rakuten.co.jp/superdeal/13921lecah802tm2406/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,300444,1倍
【セット商品】日立 往復式シェーバー S-blade RMH-F850B-TD ＋ エレクトロラックス FLOW A3 空気清浄機 FA31-202,一緒に買うとお得になる特別セット！さらにポイントバックも！,superdeal:10004158,21800,https://item.rakuten.co.jp/superdeal/13525rmhf750btdfa31202set2403/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,208532,1倍
【要エントリー！3/4 20時開始！4時間限定ポイントアップ対象】日立 ふとん乾燥機 HFK-VS5000,,superdeal:10004790,16800,https://item.rakuten.co.jp/superdeal/14129hfkvs50002408/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,208360,1倍
日立 スチームオーブンレンジ ヘルシーシェフ MRO-W1A 庫内容量30L,,superdeal:10005261,69800,https://item.rakuten.co.jp/superdeal/13270mrow1a2312c/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,502695,1倍
日立 スティッククリーナー（コードレス式）PV-BH900SL(K) サテンブラック パワーブーストサイクロン スタンド式充電台付き 強烈パワー＆軽量,,superdeal:10005234,65800,https://item.rakuten.co.jp/superdeal/14539pvbh900slk2411/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,565105,1倍
【要エントリー！3/4 20時開始！4時間限定ポイントアップ対象】日立 サイクロン式クリーナー CV-SP300L N ライトゴールド パワかるサイクロン,,superdeal:10004890,44800,https://item.rakuten.co.jp/superdeal/14252cvsp300ln2409/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,565105,1倍
【アウトレット】日立 冷蔵庫 フレンチドア 定格内容積540L LR-HW54V 【配送可能：東京都・神奈川県・埼玉県・千葉県・茨城県・栃木県・群馬県】,,superdeal:10005061,220800,https://item.rakuten.co.jp/superdeal/14369outlethw54v2410/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,204490,1倍
日立 LEDシーリングライト 14畳 LEC-AH1400U リモコン付属 定格光束6099lm 連続調光対応 調色機能付き(2700K～6500K),,superdeal:10004555,14080,https://item.rakuten.co.jp/superdeal/13925lecah1400u2406/?rafcid=wsc_i_is_1031766687290699191,楽天スーパーDEALSHOP,1,0,0,1,,,300444,1倍
